#{"t_start": 1783067148.614793, "env_id": "None"}
r,l,t
-8.270398,118,7.095259
-50.755614,209,7.12434
-18.279875,99,7.13813
-7.525314,19,12.13209
-18.511173,249,12.16899
-53.670053,81,12.181264
-2.755668,172,17.971841
-1.512506,158,17.993548
-18.658197,133,18.012081
3.500378,133,25.281464
-7.243381,200,25.309218
5.539136,7,25.310251
-1.637559,62,32.441334
0.208754,214,32.472643
-26.269547,37,32.478906
-11.117929,142,38.7626
-0.827078,250,38.79842
6.242524,18,38.80101
-25.669782,107,44.556704
-15.804936,179,44.582944
1.960054,38,44.588294
-18.857799,122,49.760188
35.255021,198,49.788145
38.369906,199,49.816267
-10.264033,106,54.912774
0.847259,17,54.915492
-1.697804,163,54.938593
-28.679808,237,60.188569
-25.748548,291,60.230706
-12.843125,234,60.263986
-26.962632,147,65.484846
-18.071203,240,65.519546
-7.882358,271,65.558965
-30.001743,209,70.861352
3.625401,114,70.878008
-5.957964,189,70.904885
2.034365,328,76.10435
-6.017714,101,76.118856
-3.258162,154,76.141598
-14.213313,168,82.76421
-4.631254,126,82.782267
14.002733,257,82.818968
11.657985,208,88.132025
-0.085106,98,88.148598
-41.102543,120,88.25931
-6.18693,251,93.771855
-7.943171,241,93.806549
-34.978147,35,93.811618
-1.397083,90,99.165036
13.364456,67,99.195855
-13.441529,233,99.230863
6.629953,98,104.977663
-3.554425,123,104.996185
21.979019,209,105.027347
-43.043114,189,110.194295
8.629198,192,110.221272
11.983724,74,110.23159
-44.542282,52,115.058563
-10.248128,32,115.063421
12.915073,95,115.076585
714,479,14.235308
-85.002478,818,14.868043
-72.606973,657,15.121551
-23.831369,1004,15.666402
-105.95637,549,15.994031
-80.721507,486,16.159781
-23.665018,198,16.366732
-35.946506,167,16.424308
-164.067986,1571,17.104507
-149.71721,1182,17.771186
-74.792006,527,18.098604
-12.758418,78,18.124708
-168.523319,1148,18.680937
14.672881,258,18.769476
-26.735937,210,19.11452
-11.369236,405,19.263789
-32.465177,107,19.299898
-92.541459,93,19.329402
-83.890351,486,19.811789
-15.220354,263,19.904516
-32.364,568,21.062859
-40.459908,191,21.139737
-37.954374,298,21.341875
-3.284116,503,21.794551
-101.963994,1127,22.947021
-4.280248,111,23.000348
-48.992209,500,23.203616
-60.761142,701,23.809216
-76.571279,1265,24.378723
-89.341149,1042,24.912254
-2.682001,55,24.929855
-23.544371,130,24.971451
-37.665803,758,25.503578
-38.719233,640,25.860747
-103.303397,1384,26.535205
-134.330807,1612,27.60866
-22.454435,129,27.657149
-61.671975,1482,28.942162
-48.679516,470,29.653577
-49.736999,638,30.1933
2.168825,183,30.30676
-5.941682,298,30.721917
-51.640411,750,31.024455
-70.709182,642,31.505196
-6.015312,167,31.573045
-20.693289,579,32.085821
-18.54908,713,32.76132
-61.502388,1292,33.39204
-135.130803,1640,34.282142
-65.594951,502,34.722375
26.538006,311,34.891157
-28.853292,1242,35.763978
-46.17138,1827,37.118817
-25.056434,1602,37.993762
1.602626,162,38.048936
-90.650708,1882,39.206669
7.983129,411,39.354771
-29.171144,588,39.737435
-0.666374,708,39.985255
-29.875113,1329,40.894041
-25.845012,907,41.560168
2.596122,338,41.677449
-7.351518,108,41.714915
-57.926717,2082,42.806697
-41.462056,1365,43.600345
-26.134862,2174,45.059437
-10.942907,447,45.217187
-10.197245,677,45.587943
-45.828217,1952,46.556792
-42.255017,2041,47.584096
-5.924601,211,47.655167
-1.519556,1895,48.596464
33.053977,263,48.684198
-4.09086,94,48.715087
-31.53696,1514,49.413747
15.903472,986,50.09001
-7.009756,2215,51.458464
17.931089,162,51.512063
-13.440589,370,51.636287
17.125955,571,51.982796
4.41742,668,52.213032
38.833571,1211,52.770977
-3.891614,1203,53.551649
27.580128,235,53.630109
4.270297,323,53.738351
70.954276,1240,54.304964
-47.368227,263,54.544219
-83.307073,136,54.590366
37.979776,1138,55.390459
-5.318416,177,55.449951
-18.678294,368,55.573446
35.381147,476,55.892895
-24.880314,319,55.999391
18.815214,1961,57.0627
10.72199,1066,57.60537
-10.022998,2030,58.602351
22.935636,810,59.020289
-3.32569,99,59.05355
43.304073,838,59.497871
13.482627,691,59.87816
-1.303557,322,59.985081
6.239457,2031,61.133288
44.670243,282,61.253779
-1.15871,21,61.260847
10.961503,1196,61.822942
0.498892,361,62.098625
-25.130171,279,62.19081
40.960375,469,62.34753
48.826665,515,62.682596
-41.428757,68,62.706415
8.291353,202,62.776442
36.687684,1635,63.701151
51.235856,1150,64.242299
-28.71447,287,64.339581
6.949933,122,64.380862
-31.917514,104,64.415559
-3.419995,246,64.648801
18.922354,1323,65.318051
-25.040454,6,65.320982
22.077274,335,65.663955
43.938724,645,66.061783
-2.428632,70,66.087727
60.111118,331,66.211561
-7.118171,361,66.528439
24.488783,1581,67.220454
2.943638,588,67.588406
27.402543,833,68.183626
22.896712,1456,68.831611
12.001043,165,68.886887
32.732786,648,69.258204
34.548847,1697,69.980756
28.157758,237,70.216197
-36.567874,212,70.285983
-15.237751,459,70.441607
26.426615,466,70.92589
-11.870365,43,70.940546
-5.016736,1877,71.909928
45.618567,967,72.381586
52.946416,372,72.505937
-3.271249,268,72.594997
8.096649,1593,73.448851
-0.637724,304,73.557687
51.530158,161,73.615174
-3.375541,1181,74.159411
12.419281,1953,75.358424
5.31855,68,75.400123
-12.766229,211,75.667635
20.589203,1979,76.691569
19.377319,798,77.164928
8.092777,108,77.203237
50.456434,1169,78.276641
-2.709479,477,78.715952
32.995075,1007,79.24895
16.285407,1832,80.59463
-8.862813,249,80.723589
56.078057,716,81.321319
19.983615,665,81.618917
5.455994,89,81.652292
11.088549,1997,82.873636
70.844365,257,83.133552
-29.436714,533,83.417217
-17.461903,317,83.604568
-12.736654,427,83.921598
41.825251,830,84.36068
36.704042,197,84.427739
53.125713,1645,85.129215
2.272458,127,85.324284
-12.73396,285,85.427209
76.000557,1063,85.976204
6.19242,196,86.041362
0.54078,41,86.055395
29.344751,1961,87.023572
34.187824,1358,87.63684
63.822314,174,87.859632
12.853205,975,88.485326
35.671297,245,88.752133
56.796128,524,88.929273
68.506722,1253,89.509289
36.46443,566,89.871534
-2.241044,59,89.89886
37.478403,2028,90.890104
57.743542,470,91.044709
48.878206,540,91.39038
-21.418477,739,91.977793
60.668878,1116,92.603624
63.995483,953,93.175518
-6.575111,117,93.216088
64.746808,959,93.845511
66.783294,1372,94.492237
3.905246,694,94.892756
-3.304772,57,94.9125
-9.842237,151,94.964675
5.735116,120,95.005478
45.690369,1282,95.653741
-12.414719,682,96.087509
46.955503,1752,97.044421
1.981417,370,97.167597
-8.740477,223,97.240107
-1.025447,143,97.443019
-6.429623,113,97.483405
91.595363,978,98.006533
10.46829,378,98.137091
48.226735,480,98.297786
-15.077683,601,98.653738
1.743938,62,98.674061
1.907332,118,98.712992
-14.731781,54,98.731161
3.466018,118,98.771529
53.719007,1932,99.988891
-4.855199,94,100.022213
20.217407,293,100.306875
24.918089,2145,101.339305
-9.201984,330,101.449865
19.756802,150,101.499754
95.340464,985,102.001455
87.907829,791,102.421178
-0.715543,124,102.46307
-36.662139.452201,785,102.7.474739-3.715733,482,102.825788
-3.928689,107,1051.356847,423,102.959662
-33.189418,1124,103.559947
31.114958,1872,105.372832
-9.237028,326,105.477277
60.666973,1725,106.441735
64.751716,1028,106.925597
-17.939811,68,106.947224
-3-6.456797,1968,107.407933-165.7972,856,107.684453
-24.391027,94,107.715269
-24.778729,58,107.734193
60.022063,1485,108.541592
74.348878,1570,109.241041
36.616492,965,109.729178
115.995972,1130,110.545601
-6.587854,252,110.625902
46.173593,1580,111.308089
12.681125,696,111.674972
-5.57746,94,111.705025
-14.101926,62,111.724598
91.262834,1260,112.294512
-1.064434,449,112.581412
23.026458,1965,113.508898
-29.946144,498,113.675029
-8.468885,55,113.69256
10.605134,2078,114.653497
128,112.678882
31.438578,1431,113.291783
49.723778,880,113.722719
71.385096,1688,114.560131
20.982981,1182,115.196977
03.419897
50.377396,1517,104.820541
39.040836,251,105.07908
60.839613,883,105.523028
56.620045,1068,106.124783
74.272133,952,106.582387
60.940697,558,106.915289
-9.921719,505,107.0755285063.084268,295,107.431424-2-0.145684,375,107.552049
6.948894,287,107.64316238.927793,2151,108.557439
27.65211,542,108.882341
94.649983,1009,109.406276
19.505304,1963,110.365349
29.768539,677,110.728481
19.893525,1809,111.628261
42.358726,1814,112.519846
58.780006,565,112.700544
-36.407765,513,113.01292
41.492965,1441,113.624574
-4.463718,340,113.739374
11.490456,1311,114.457767
1.790874,91,114.486595
27.370205,455,114.630008
22.551423,890,115.174587
41.626668,362,115.289739
.74335,151,114.559746
67.182474,269,114.644678
80.137073,1046,115.239186
-6.403312,16,115.244518
